ticker,state,action,confidence,triggeredRules,timestamp
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T17:54:09.693Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T17:56:33.399Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T17:57:48.332Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T17:58:30.476Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T17:59:46.494Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T18:00:24.916Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T18:02:02.586Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T21:23:32.500Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T21:24:34.911Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T18:02:38.102Z"
AAPL,WAIT,HOLD,0.5,["price > 50-DMA"],"2025-12-17T21:25:20.724Z"
AAPL,WAIT,ARM_FOR_BUY,0.67,["price > 50-DMA"],"2025-12-17T22:03:11.798Z"
AAPL,WAIT,ARM_FOR_BUY,0.67,["price > 50-DMA"],"2025-12-17T22:04:11.299Z"
AAPL,WAIT,ARM_FOR_SELL,1,["price > 50-DMA"],"2025-12-17T22:05:15.308Z"
AAPL,WAIT,ARM_FOR_BUY,0.67,["price > 50-DMA"],"2025-12-17T22:07:09.381Z"
AAPL,WAIT,WAIT,0.3,["price > 50-DMA"],"2025-12-17T22:08:47.968Z"
AAPL,WAIT,WAIT,0.3,["price > 50-DMA"],"2025-12-17T22:09:21.524Z"
AAPL,WAIT,ARM_FOR_BUY,0.67,["price > 50-DMA"],"2025-12-17T22:10:05.334Z"
AAPL,WAIT,ARM_FOR_BUY,0.67,["price > 50-DMA"],"2025-12-17T22:30:45.238Z"
AAPL,WAIT,ARM_FOR_BUY,0.67,["price > 50-DMA"],"2025-12-17T22:34:10.612Z"
AAPL,WAIT,ARM_FOR_BUY,0.67,["price > 50-DMA"],"2025-12-17T22:35:02.584Z"
